Pair,Sector,Date,Position,Spread,ZScore,PnL_Net,Cum_PnL,Value
TECHM.NS/MPHASIS.NS,IT,2022-02-25,0.0,-77.79234781576679,-1.4268650055959158,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-28,0.0,-84.59036618715481,-1.5141621717041882,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-02,0.0,-114.73931799693673,-1.8762765941459485,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-03,0.0,-85.70912776800151,-1.5078348241796569,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-04,0.0,-79.92301880026548,-1.4297254071091652,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-07,0.0,-79.92073138301339,-1.4193850448489889,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-08,0.0,-67.95673415502301,-1.2802203883333025,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-09,0.0,-47.775750284495416,-1.0260305800721552,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-10,0.0,-59.06364350121544,-1.170467670497949,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-11,0.0,-92.44226602192225,-1.5721507119421878,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-14,0.0,-89.92558392898195,-1.5208115911361273,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-15,0.0,-75.70160283321684,-1.3347041604238887,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-16,1.0,-12.39562952057372,-0.566824576755559,-3125.0,179517.0894824601,1429517.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-03-17,1.0,-13.008336848094814,-0.5783724513393939,1360.676941346299,180877.7664238064,1430877.7664238063
TECHM.NS/MPHASIS.NS,IT,2022-03-21,1.0,-23.395227697891187,-0.7043835480282411,-10908.528841121855,169969.23758268455,1419969.2375826845
TECHM.NS/MPHASIS.NS,IT,2022-03-22,1.0,-7.943425189658683,-0.5179796138470061,33928.419561546914,203897.65714423146,1453897.6571442315
TECHM.NS/MPHASIS.NS,IT,2022-03-23,1.0,-26.943861724646467,-0.7385241753756076,-6625.478255630211,197272.17888860125,1447272.1788886013
TECHM.NS/MPHASIS.NS,IT,2022-03-24,1.0,-42.59533042681619,-0.9084555439612566,4936.345826433118,202208.52471503438,1452208.5247150343
TECHM.NS/MPHASIS.NS,IT,2022-03-25,1.0,-52.54442475365113,-1.0039818538789258,-20906.063639087217,181302.46107594715,1431302.4610759472
TECHM.NS/MPHASIS.NS,IT,2022-03-28,1.0,-82.02807536729506,-1.3259797363036399,-15376.694113717142,165925.76696223,1415925.76696223
TECHM.NS/MPHASIS.NS,IT,2022-03-29,1.0,-100.2490242174431,-1.501377346209132,-8627.423246311659,157298.34371591834,1407298.3437159183
TECHM.NS/MPHASIS.NS,IT,2022-03-30,1.0,-143.3413122482691,-1.9407348570424248,-30103.426329557962,127194.91738636038,1377194.9173863605
TECHM.NS/MPHASIS.NS,IT,2022-03-31,1.0,-119.18231833848677,-1.606118545632318,11418.180109483304,138613.0974958437,1388613.0974958437
TECHM.NS/MPHASIS.NS,IT,2022-04-01,1.0,-116.14621304976868,-1.5243664405443815,-4684.024505140321,133929.07299070337,1383929.0729907034
TECHM.NS/MPHASIS.NS,IT,2022-04-04,1.0,-93.32771100969467,-1.2315041699722442,15168.03190996255,149097.10490066593,1399097.104900666
TECHM.NS/MPHASIS.NS,IT,2022-04-05,1.0,-103.86206006642215,-1.3145149220403136,-9018.95893476776,140078.14596589818,1390078.1459658982
TECHM.NS/MPHASIS.NS,IT,2022-04-06,1.0,-79.41202783063159,-1.0149664616405525,-3952.0741263854384,136126.07183951273,1386126.0718395128
TECHM.NS/MPHASIS.NS,IT,2022-04-07,1.0,-58.11337811127123,-0.7588031114464403,13797.282561860999,149923.35440137374,1399923.3544013738
TECHM.NS/MPHASIS.NS,IT,2022-04-08,0.0,-73.32507602620763,-0.9059915650919467,-19275.56262989519,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-11,0.0,-59.779724661880664,-0.7365466640759131,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-12,0.0,-59.171092016173134,-0.7111804009914793,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-13,0.0,-60.3533231651586,-0.7079254931922538,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-18,0.0,-45.84925599756912,-0.5304448344820913,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-19,0.0,-73.21260718100598,-0.8147333363115582,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-20,0.0,-78.37376004261182,-0.8506548193424055,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-21,0.0,-81.46089836686042,-0.8634826062142233,0.0,130647.79177147854,1380647.7917714785
